ProjectName,FilePath,ExceptionType,InvokedMethods,ThrowException,IsCustomerExceptionThrown
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\BBIFileServiceFacadeImpl.java,IOException,info,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\BBIFileServiceFacadeImpl.java,Exception,info,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorEmployeeServiceImpl.java,ParseException,error|getMessage,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorEmployeeServiceImpl.java,ParseException,error|getMessage,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,,IllegalArgumentException,false
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,error,RuntimeException,false
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
